return_id,order_id,return_date,return_reason,return_quantity,refund_amount
RET-000165,ORD-0002417,2023-03-21,Quality Issue,2,798.0
RET-000166,ORD-0002434,2024-01-10,Quality Issue,1,815.2
RET-000167,ORD-0002467,2022-03-08,Wrong Product,2,3296.3
RET-000168,ORD-0002482,2024-11-04,Size Issue,1,1634.25
RET-000169,ORD-0002484,2024-11-16,Size Issue,1,509.0
RET-000170,ORD-0002502,2023-09-29,Quality Issue,1,539.0
RET-000171,ORD-0002511,2024-09-28,Quality Issue,1,409.0
RET-000172,ORD-0002520,2024-05-02,Quality Issue,1,1169.0
RET-000173,ORD-0002570,2023-07-10,Size Issue,2,11758.0
RET-000174,ORD-0002573,2022-07-20,Quality Issue,1,2940.15
RET-000175,ORD-0002578,2023-04-30,Quality Issue,1,749.0
RET-000176,ORD-0002580,2022-03-17,Changed Mind,1,9993.05
RET-000177,ORD-0002581,2023-09-24,Quality Issue,1,7059.0
RET-000178,ORD-0002583,2024-09-08,Changed Mind,1,239.0
RET-000179,ORD-0002617,2024-09-07,Size Issue,1,503.1
RET-000180,ORD-0002628,2024-10-08,Size Issue,2,3634.2
RET-000181,ORD-0002636,2023-01-14,Size Issue,1,1859.0
RET-000182,ORD-0002638,2023-09-01,Wrong Product,1,769.0
RET-000183,ORD-0002654,2024-02-10,Quality Issue,2,738.0
RET-000184,ORD-0002655,2024-12-15,Quality Issue,2,1038.0
RET-000185,ORD-0002659,2022-08-21,Changed Mind,1,350.55
RET-000186,ORD-0002662,2023-05-13,Changed Mind,1,1559.0
RET-000187,ORD-0002687,2023-07-10,Damaged Product,2,1154.3
RET-000188,ORD-0002709,2022-03-19,Wrong Product,3,717.6
RET-000189,ORD-0002712,2023-07-01,Quality Issue,1,917.1
RET-000190,ORD-0002724,2024-06-11,Quality Issue,1,2969.0
RET-000191,ORD-0002773,2022-11-18,Wrong Product,1,9187.65
RET-000192,ORD-0002777,2023-02-06,Other,1,20024.1
RET-000193,ORD-0002793,2022-11-15,Size Issue,1,519.2
RET-000194,ORD-0002805,2023-11-09,Size Issue,3,1145.25
RET-000195,ORD-0002828,2022-10-08,Changed Mind,1,917.1
RET-000196,ORD-0002843,2023-03-18,Damaged Product,1,150.0
RET-000197,ORD-0002896,2022-10-26,Late Delivery,1,859.0
RET-000198,ORD-0002901,2025-01-04,Size Issue,1,2231.2
RET-000199,ORD-0002902,2024-02-27,Damaged Product,1,917.1
RET-000200,ORD-0002905,2024-04-13,Damaged Product,1,269.1
RET-000201,ORD-0002925,2024-03-17,Wrong Product,1,487.2
RET-000202,ORD-0002946,2023-07-21,Size Issue,1,4198.05
RET-000203,ORD-0002963,2023-01-03,Quality Issue,1,80.0
RET-000204,ORD-0002973,2023-02-20,Size Issue,1,825.55
RET-000205,ORD-0002995,2024-11-02,Quality Issue,2,8379.3
RET-000206,ORD-0003004,2024-11-20,Damaged Product,3,695.25
RET-000207,ORD-0003006,2023-01-12,Size Issue,1,2189.0
RET-000208,ORD-0003013,2022-08-06,Quality Issue,1,265.05
RET-000209,ORD-0003032,2024-10-12,Damaged Product,1,1139.0
RET-000210,ORD-0003043,2024-11-30,Damaged Product,1,249.0
RET-000211,ORD-0003059,2024-01-08,Damaged Product,1,739.0
RET-000212,ORD-0003063,2024-10-15,Changed Mind,1,203.15
RET-000213,ORD-0003103,2024-05-23,Late Delivery,2,2525.1
RET-000214,ORD-0003113,2023-10-04,Damaged Product,1,1899.0
RET-000215,ORD-0003128,2024-03-06,Quality Issue,1,92.65
RET-000216,ORD-0003140,2022-08-23,Late Delivery,1,2820.55
RET-000217,ORD-0003162,2023-11-20,Size Issue,2,2028.6
RET-000218,ORD-0003170,2023-06-04,Size Issue,2,1058.0
RET-000219,ORD-0003192,2023-09-07,Size Issue,1,1949.0
RET-000220,ORD-0003248,2023-10-20,Quality Issue,2,484.2
RET-000221,ORD-0003256,2023-11-05,Changed Mind,1,692.1
RET-000222,ORD-0003277,2024-06-01,Size Issue,2,1689.1
RET-000223,ORD-0003282,2024-11-27,Wrong Product,1,1295.1
RET-000224,ORD-0003307,2024-05-20,Changed Mind,1,911.05
RET-000225,ORD-0003311,2022-11-17,Size Issue,1,3021.75
RET-000226,ORD-0003324,2022-09-20,Late Delivery,1,2089.0
RET-000227,ORD-0003334,2024-11-08,Late Delivery,1,551.65
RET-000228,ORD-0003345,2023-12-18,Other,1,249.0
RET-000229,ORD-0003377,2023-10-18,Size Issue,1,467.1
RET-000230,ORD-0003383,2024-11-22,Damaged Product,1,1789.0
RET-000231,ORD-0003396,2023-03-12,Size Issue,1,649.0
RET-000232,ORD-0003405,2023-06-26,Late Delivery,1,2098.55
RET-000233,ORD-0003406,2024-06-12,Quality Issue,3,507.0
RET-000234,ORD-0003413,2023-07-02,Other,1,3914.1
RET-000235,ORD-0003419,2024-05-19,Damaged Product,4,10128.6
RET-000236,ORD-0003454,2024-11-16,Changed Mind,1,584.1
RET-000237,ORD-0003463,2023-05-26,Quality Issue,1,279.0
RET-000238,ORD-0003479,2024-01-26,Quality Issue,1,3181.55
RET-000239,ORD-0003482,2023-07-25,Quality Issue,1,3369.0
RET-000240,ORD-0003507,2024-11-02,Quality Issue,1,1169.0
RET-000241,ORD-0003509,2022-11-21,Wrong Product,2,1243.5
RET-000242,ORD-0003518,2023-05-15,Quality Issue,1,161.1
RET-000243,ORD-0003544,2023-05-28,Size Issue,1,971.1
RET-000244,ORD-0003558,2024-07-31,Damaged Product,4,2116.0
RET-000245,ORD-0003574,2022-02-01,Changed Mind,1,2583.2
RET-000246,ORD-0003612,2023-12-12,Damaged Product,2,4958.0
RET-000247,ORD-0003617,2023-10-01,Wrong Product,1,649.0
RET-000248,ORD-0003635,2023-10-16,Quality Issue,1,3608.1
RET-000249,ORD-0003640,2022-11-22,Damaged Product,1,2829.0
RET-000250,ORD-0003647,2024-08-25,Quality Issue,1,1745.1
RET-000251,ORD-0003662,2022-10-06,Damaged Product,1,215.1
RET-000252,ORD-0003663,2024-07-02,Size Issue,1,2317.05
RET-000253,ORD-0003664,2024-09-03,Size Issue,1,3739.0
RET-000254,ORD-0003689,2022-04-14,Late Delivery,1,829.0
RET-000255,ORD-0003712,2022-08-11,Changed Mind,1,1279.0
RET-000256,ORD-0003737,2023-12-05,Wrong Product,1,2099.0
RET-000257,ORD-0003738,2024-07-19,Wrong Product,3,56217.0
RET-000258,ORD-0003743,2024-06-13,Changed Mind,1,2439.0
RET-000259,ORD-0003757,2024-02-01,Size Issue,1,1439.1
RET-000260,ORD-0003774,2022-12-06,Size Issue,2,2998.0
RET-000261,ORD-0003791,2023-12-11,Damaged Product,1,739.0
RET-000262,ORD-0003801,2024-06-16,Late Delivery,1,749.0
RET-000263,ORD-0003805,2022-11-12,Wrong Product,1,1610.1
RET-000264,ORD-0003823,2023-10-08,Late Delivery,1,535.2
RET-000265,ORD-0003825,2022-07-31,Quality Issue,1,5623.05
RET-000266,ORD-0003836,2024-11-08,Size Issue,1,2510.1
RET-000267,ORD-0003867,2022-12-14,Size Issue,1,2889.15
RET-000268,ORD-0003902,2024-12-01,Size Issue,1,1939.0
RET-000269,ORD-0003910,2024-08-20,Damaged Product,1,390.15
RET-000270,ORD-0003932,2024-12-06,Quality Issue,1,2226.75
RET-000271,ORD-0003933,2023-04-26,Late Delivery,1,332.1
RET-000272,ORD-0003940,2024-02-16,Changed Mind,2,1498.0
RET-000273,ORD-0003941,2025-01-09,Changed Mind,1,4929.0
RET-000274,ORD-0003946,2024-10-22,Changed Mind,2,8872.2
RET-000275,ORD-0003948,2024-01-07,Damaged Product,1,169.0
RET-000276,ORD-0003979,2022-07-12,Wrong Product,1,519.0
RET-000277,ORD-0003982,2022-05-31,Damaged Product,1,664.05
RET-000278,ORD-0003993,2024-06-04,Quality Issue,2,830.4
RET-000279,ORD-0004007,2023-12-19,Size Issue,2,1214.1
RET-000280,ORD-0004015,2024-08-22,Wrong Product,1,203.15
RET-000281,ORD-0004037,2024-01-20,Late Delivery,2,2848.1
RET-000282,ORD-0004050,2024-05-24,Changed Mind,1,239.0
RET-000283,ORD-0004051,2024-11-08,Quality Issue,1,26859.15
RET-000284,ORD-0004053,2023-07-20,Changed Mind,3,1347.0
RET-000285,ORD-0004081,2024-10-14,Changed Mind,1,1039.0
RET-000286,ORD-0004094,2022-06-16,Wrong Product,1,1179.0
RET-000287,ORD-0004122,2024-02-21,Quality Issue,1,3609.05
RET-000288,ORD-0004125,2023-10-02,Size Issue,1,869.0
RET-000289,ORD-0004159,2024-06-29,Changed Mind,2,478.0
RET-000290,ORD-0004163,2024-02-15,Size Issue,1,169.0
RET-000291,ORD-0004168,2023-07-22,Changed Mind,1,3939.0
RET-000292,ORD-0004169,2024-09-26,Quality Issue,1,579.0
RET-000293,ORD-0004177,2024-08-09,Size Issue,1,475.15
RET-000294,ORD-0004192,2024-02-15,Quality Issue,1,1851.55
RET-000295,ORD-0004211,2024-01-30,Late Delivery,1,529.0
RET-000296,ORD-0004216,2024-02-16,Wrong Product,1,350.55
RET-000297,ORD-0004218,2024-11-15,Late Delivery,1,2559.0
RET-000298,ORD-0004247,2023-10-16,Changed Mind,1,431.2
RET-000299,ORD-0004251,2024-08-27,Late Delivery,2,1442.1
RET-000300,ORD-0004280,2024-07-02,Wrong Product,1,80.0
RET-000301,ORD-0004292,2024-01-22,Damaged Product,1,1919.0
RET-000302,ORD-0004318,2023-06-10,Damaged Product,1,1329.0
RET-000303,ORD-0004331,2023-08-30,Size Issue,1,2402.55
RET-000304,ORD-0004333,2024-11-03,Size Issue,1,4215.15
RET-000305,ORD-0004342,2024-11-25,Wrong Product,1,1403.1
RET-000306,ORD-0004345,2023-12-07,Size Issue,1,1259.0
RET-000307,ORD-0004354,2023-04-30,Other,1,609.0
RET-000308,ORD-0004357,2024-06-22,Damaged Product,1,439.2
RET-000309,ORD-0004358,2023-12-05,Size Issue,1,68.0
RET-000310,ORD-0004385,2024-03-15,Wrong Product,1,787.55
RET-000311,ORD-0004419,2024-04-22,Damaged Product,1,109.0
RET-000312,ORD-0004463,2024-08-24,Wrong Product,1,3999.0
RET-000313,ORD-0004467,2023-09-06,Changed Mind,1,3669.0
RET-000314,ORD-0004468,2024-07-07,Size Issue,1,2611.55
RET-000315,ORD-0004475,2023-06-15,Damaged Product,1,559.55
RET-000316,ORD-0004476,2023-09-05,Size Issue,1,2070.05
RET-000317,ORD-0004493,2022-10-13,Damaged Product,1,7279.0
RET-000318,ORD-0004497,2024-01-23,Quality Issue,1,1559.0
RET-000319,ORD-0004500,2022-08-19,Changed Mind,1,4049.0
RET-000320,ORD-0004503,2024-05-21,Late Delivery,1,2959.0
RET-000321,ORD-0004548,2024-05-13,Damaged Product,1,332.1
RET-000322,ORD-0004581,2023-02-08,Late Delivery,3,1707.0
RET-000323,ORD-0004585,2023-06-22,Wrong Product,1,829.0
RET-000324,ORD-0004637,2022-10-16,Late Delivery,1,295.2
RET-000325,ORD-0004641,2024-06-22,Quality Issue,1,3399.15
RET-000326,ORD-0004643,2023-11-01,Changed Mind,1,2771.1
RET-000327,ORD-0004651,2024-02-19,Damaged Product,2,14115.1
RET-000328,ORD-0004657,2024-02-12,Damaged Product,1,21019.0
RET-000329,ORD-0004662,2024-10-09,Wrong Product,2,7214.4
RET-000330,ORD-0004664,2023-03-03,Quality Issue,1,1223.15
RET-000331,ORD-0004670,2024-01-19,Size Issue,1,977.55
RET-000332,ORD-0004673,2023-06-16,Late Delivery,1,369.55
RET-000333,ORD-0004681,2022-11-27,Damaged Product,1,207.2
RET-000334,ORD-0004684,2023-09-26,Size Issue,1,1019.0
RET-000335,ORD-0004699,2024-02-08,Size Issue,1,616.55
RET-000336,ORD-0004714,2023-09-04,Wrong Product,1,80.0
RET-000337,ORD-0004723,2022-01-13,Damaged Product,1,22399.0
RET-000338,ORD-0004733,2023-02-02,Wrong Product,1,70.0
RET-000339,ORD-0004737,2024-06-13,Quality Issue,1,949.0
RET-000340,ORD-0004741,2024-11-05,Wrong Product,1,1052.1
RET-000341,ORD-0004745,2024-09-08,Size Issue,1,1088.1
RET-000342,ORD-0004748,2024-06-12,Damaged Product,2,1678.0
RET-000343,ORD-0004772,2024-04-04,Damaged Product,5,144036.0
RET-000344,ORD-0004782,2024-11-08,Late Delivery,1,415.65
RET-000345,ORD-0004809,2023-12-09,Damaged Product,1,1775.65
RET-000346,ORD-0004811,2023-06-26,Damaged Product,1,579.0
RET-000347,ORD-0004840,2024-03-18,Damaged Product,1,1299.0
RET-000348,ORD-0004857,2023-11-13,Quality Issue,1,143.2
RET-000349,ORD-0004884,2024-06-02,Size Issue,1,1376.55
RET-000350,ORD-0004925,2022-08-04,Changed Mind,3,2590.65
RET-000351,ORD-0004944,2023-05-29,Quality Issue,1,1239.0
RET-000352,ORD-0004991,2023-05-22,Late Delivery,1,5623.05
RET-000353,ORD-0005006,2024-11-03,Quality Issue,1,929.25
RET-000354,ORD-0005013,2022-10-17,Damaged Product,1,3306.75
RET-000355,ORD-0005023,2023-02-01,Changed Mind,1,797.05
RET-000356,ORD-0005040,2022-06-04,Size Issue,1,467.1
RET-000357,ORD-0005045,2024-02-01,Wrong Product,1,150.0
RET-000358,ORD-0005060,2024-11-18,Size Issue,1,3545.1
RET-000359,ORD-0005065,2024-01-08,Quality Issue,1,3559.0
RET-000360,ORD-0005069,2023-03-17,Quality Issue,1,103.55
RET-000361,ORD-0005077,2024-05-27,Quality Issue,3,27297.0
RET-000362,ORD-0005100,2024-10-24,Changed Mind,1,3229.0
RET-000363,ORD-0005125,2024-04-11,Wrong Product,1,2829.0
RET-000364,ORD-0005135,2024-06-21,Changed Mind,1,645.05
RET-000365,ORD-0005183,2022-08-19,Quality Issue,1,3590.05
RET-000366,ORD-0005192,2023-06-19,Size Issue,2,3342.1
RET-000367,ORD-0005198,2023-10-22,Wrong Product,1,426.75
RET-000368,ORD-0005201,2023-01-13,Changed Mind,1,1299.0
RET-000369,ORD-0005234,2022-07-25,Quality Issue,1,579.0
RET-000370,ORD-0005248,2024-09-06,Other,2,558.0
RET-000371,ORD-0005293,2023-10-04,Size Issue,1,619.0
RET-000372,ORD-0005311,2024-10-14,Quality Issue,2,7648.2
RET-000373,ORD-0005322,2024-12-29,Changed Mind,1,1059.0
RET-000374,ORD-0005329,2023-04-14,Damaged Product,2,1258.2
RET-000375,ORD-0005331,2023-04-25,Quality Issue,1,699.0
RET-000376,ORD-0005348,2023-08-14,Quality Issue,1,436.05
RET-000377,ORD-0005384,2024-10-14,Size Issue,1,3626.1
RET-000378,ORD-0005406,2023-10-27,Damaged Product,1,1615.2
RET-000379,ORD-0005428,2023-06-26,Damaged Product,1,279.65
RET-000380,ORD-0005442,2023-10-13,Late Delivery,1,566.1
RET-000381,ORD-0005449,2024-03-22,Wrong Product,1,863.2
RET-000382,ORD-0005450,2024-01-18,Quality Issue,1,1766.05
RET-000383,ORD-0005457,2024-11-29,Quality Issue,1,500.65
RET-000384,ORD-0005475,2024-05-24,Damaged Product,1,10519.0
RET-000385,ORD-0005478,2024-10-13,Quality Issue,3,1197.0
RET-000386,ORD-0005480,2023-05-23,Wrong Product,1,179.0
RET-000387,ORD-0005481,2023-06-06,Size Issue,1,1215.05
RET-000388,ORD-0005488,2024-03-23,Size Issue,1,531.05
RET-000389,ORD-0005514,2023-04-09,Size Issue,1,1025.05
RET-000390,ORD-0005524,2024-10-11,Size Issue,1,4193.1
RET-000391,ORD-0005565,2024-04-10,Wrong Product,1,1956.05
RET-000392,ORD-0005583,2023-01-26,Quality Issue,1,369.55
RET-000393,ORD-0005584,2024-03-28,Damaged Product,1,755.1
RET-000394,ORD-0005596,2023-11-28,Size Issue,3,2419.95
RET-000395,ORD-0005620,2023-05-28,Damaged Product,1,969.0
RET-000396,ORD-0005648,2023-07-25,Quality Issue,1,2969.0
RET-000397,ORD-0005650,2023-05-02,Damaged Product,3,1131.3
RET-000398,ORD-0005675,2024-06-27,Damaged Product,1,1429.0
RET-000399,ORD-0005699,2023-05-31,Size Issue,1,7429.0
RET-000400,ORD-0005726,2023-08-27,Size Issue,1,1209.0
RET-000401,ORD-0005749,2022-11-30,Size Issue,2,8044.2
RET-000402,ORD-0005780,2022-04-08,Size Issue,1,1151.1
RET-000403,ORD-0005807,2024-04-23,Damaged Product,1,2717.1
RET-000404,ORD-0005808,2024-02-15,Late Delivery,1,329.0
RET-000405,ORD-0005835,2022-12-13,Size Issue,1,1903.2
RET-000406,ORD-0005847,2022-07-31,Damaged Product,1,160.55
RET-000407,ORD-0005865,2024-06-13,Wrong Product,1,1869.0
