product_id,Total_Orders,Total_Quantity,Total_Revenue,Total_Cost,Total_Profit,Returned_Orders,Cancelled_Orders,Profit_Margin_%,Return_Rate_%,Cancellation_Rate_%,product_name,category,subcategory,brand,cost_price,selling_price,supplier,stock_quantity,profit_margin_percentage,Cum_Revenue,Cum_Revenue_Pct,Product_Rank,Cum_Product_Pct,Portfolio_Segment
PROD-0309,12,17,1026527.4,784871.13,241656.27000000002,2,0,23.54,16.67,0.0,Samsung Smartphones Premium,Electronics,Smartphones,Samsung,46168.89,61839.0,Apex Electronics Ltd,323,25.34,14155124.8,10.5,11,2.0,"Volume Driver (High Rev, Low Margin)"
PROD-0132,35,48,1003429.9,836121.6,167308.3,2,3,16.67,5.71,8.57,Realme Cameras Plus,Electronics,Cameras,Realme,17419.2,22249.0,Metro Gadget Hub,436,21.71,15158554.700000001,11.25,12,2.18,"Volume Driver (High Rev, Low Margin)"
PROD-0543,31,47,930264.25,866935.21,63329.04,2,3,6.81,6.45,9.68,Apple Laptops Essentials,Electronics,Laptops,Apple,18445.43,21509.0,Apex Electronics Ltd,524,14.24,16088818.950000001,11.94,13,2.36,"Volume Driver (High Rev, Low Margin)"
PROD-0474,13,17,920944.0,817245.08,103698.92000000001,0,1,11.26,0.0,7.69,Samsung Smartwatches Elite,Electronics,Smartwatches,Samsung,48073.24,57559.0,Apex Electronics Ltd,128,16.48,17009762.950000003,12.62,14,2.55,"Volume Driver (High Rev, Low Margin)"
PROD-0040,25,31,920258.75,795158.99,125099.76,0,4,13.59,0.0,16.0,Sony Smartphones Premium,Electronics,Smartphones,Sony,25650.29,32009.0,Apex Electronics Ltd,250,19.87,17930021.700000003,13.3,15,2.73,"Volume Driver (High Rev, Low Margin)"
PROD-0317,35,55,887337.35,833768.65,53568.7,3,2,6.04,8.57,5.71,Sony Audio & Headphones Plus,Electronics,Audio & Headphones,Sony,15159.43,17519.0,Apex Electronics Ltd,533,13.47,18817359.050000004,13.96,16,2.91,"Volume Driver (High Rev, Low Margin)"
PROD-0453,20,23,876079.95,786123.9,89956.05,1,1,10.27,5.0,5.0,Xiaomi Smartwatches Prime,Electronics,Smartwatches,Xiaomi,34179.3,41619.0,Apex Electronics Ltd,294,17.88,19693439.000000004,14.61,17,3.09,"Volume Driver (High Rev, Low Margin)"
PROD-0120,19,26,834841.35,783430.18,51411.17,1,1,6.16,5.26,5.26,Samsung Audio & Headphones Classic,Electronics,Audio & Headphones,Samsung,30131.93,34569.0,Metro Gadget Hub,497,12.84,20528280.350000005,15.23,18,3.27,"Volume Driver (High Rev, Low Margin)"
PROD-0121,19,30,831012.0,783382.7999999999,47629.2,1,1,5.73,5.26,5.26,Xiaomi Smartwatches Max,Electronics,Smartwatches,Xiaomi,26112.76,29679.0,Metro Gadget Hub,481,12.02,21359292.350000005,15.85,19,3.45,"Volume Driver (High Rev, Low Margin)"
PROD-0445,31,43,822376.8,673539.96,148836.84,3,2,18.1,9.68,6.45,Noise Cameras Essentials,Electronics,Cameras,Noise,15663.72,20979.0,Zenith Tech Distribution,133,25.34,22181669.150000006,16.46,20,3.64,"Volume Driver (High Rev, Low Margin)"
PROD-0052,18,25,798958.1,663810.75,135147.35,1,0,16.92,5.56,0.0,Xiaomi Smartwatches Premium,Electronics,Smartwatches,Xiaomi,26552.43,34889.0,Apex Electronics Ltd,461,23.89,22980627.250000007,17.05,21,3.82,"Volume Driver (High Rev, Low Margin)"
PROD-0436,38,49,772985.15,673366.33,99618.81999999999,4,2,12.89,10.53,5.26,Oneplus Accessories Classic,Electronics,Accessories,Oneplus,13742.17,16859.0,Zenith Tech Distribution,452,18.49,23753612.400000006,17.63,22,4.0,"Volume Driver (High Rev, Low Margin)"
PROD-0218,15,24,772393.05,666549.36,105843.69,3,0,13.7,20.0,0.0,Sony Smartphones Plus,Electronics,Smartphones,Sony,27772.89,36009.0,Apex Electronics Ltd,427,22.87,24526005.450000007,18.2,23,4.18,"Volume Driver (High Rev, Low Margin)"
PROD-0425,31,41,753065.1,657572.76,95492.34,1,1,12.68,3.23,3.23,Dell Accessories Elite,Electronics,Accessories,Dell,16038.36,19359.0,Apex Electronics Ltd,434,17.15,25279070.55000001,18.76,24,4.36,"Volume Driver (High Rev, Low Margin)"
PROD-0077,29,38,750378.2999999999,655291.76,95086.54000000001,3,2,12.67,10.34,6.9,Xiaomi Accessories Max,Electronics,Accessories,Xiaomi,17244.52,21019.0,Metro Gadget Hub,130,17.96,26029448.85000001,19.31,25,4.55,"Volume Driver (High Rev, Low Margin)"
PROD-0251,19,27,738519.2,635311.08,103208.12,1,2,13.98,5.26,10.53,Xiaomi Smartwatches Essentials,Electronics,Smartwatches,Xiaomi,23530.04,29779.0,Zenith Tech Distribution,26,20.98,26767968.05000001,19.86,26,4.73,"Volume Driver (High Rev, Low Margin)"
PROD-0140,21,27,721239.6,594312.66,126926.94,2,0,17.6,9.52,0.0,Realme Smartphones Ultra,Electronics,Smartphones,Realme,22011.58,29559.0,Zenith Tech Distribution,274,25.53,27489207.65000001,20.4,27,4.91,"Volume Driver (High Rev, Low Margin)"
PROD-0143,33,44,720419.25,655272.2,65147.049999999996,3,2,9.04,9.09,6.06,Apple Smartphones Classic,Electronics,Smartphones,Apple,14892.55,17679.0,Metro Gadget Hub,465,15.76,28209626.90000001,20.93,28,5.09,"Volume Driver (High Rev, Low Margin)"
PROD-0237,25,39,712741.95,681359.6399999999,31382.309999999998,2,1,4.4,8.0,4.0,Apple Laptops Prime,Electronics,Laptops,Apple,17470.76,20049.0,Zenith Tech Distribution,202,12.86,28922368.85000001,21.46,29,5.27,"Volume Driver (High Rev, Low Margin)"
PROD-0101,20,27,700902.15,571251.6900000001,129650.45999999999,1,0,18.5,5.0,0.0,Dell Smartphones Pro,Electronics,Smartphones,Dell,21157.47,27649.0,Zenith Tech Distribution,154,23.48,29623271.000000007,21.98,30,5.45,"Volume Driver (High Rev, Low Margin)"
PROD-0153,18,30,690432.05,592981.5,97450.55,3,3,14.11,16.67,16.67,Boat Accessories Elite,Electronics,Accessories,Boat,19766.05,25619.0,Metro Gadget Hub,541,22.85,30313703.05000001,22.49,31,5.64,"Volume Driver (High Rev, Low Margin)"
PROD-0266,28,42,658467.95,532614.6,125853.34999999999,3,2,19.11,10.71,7.14,Samsung Audio & Headphones Prime,Electronics,Audio & Headphones,Samsung,12681.3,16649.0,Metro Gadget Hub,304,23.83,30972171.000000007,22.98,32,5.82,"Volume Driver (High Rev, Low Margin)"
PROD-0279,48,66,652703.95,569239.4400000001,83464.51000000001,4,2,12.79,8.33,4.17,Oneplus Audio & Headphones Max,Electronics,Audio & Headphones,Oneplus,8624.84,10519.0,Apex Electronics Ltd,269,18.01,31624874.950000007,23.47,33,6.0,"Volume Driver (High Rev, Low Margin)"
PROD-0377,14,18,627982.65,533287.7999999999,94694.84999999999,1,3,15.08,7.14,21.43,Apple Laptops Max,Electronics,Laptops,Apple,29627.1,37269.0,Apex Electronics Ltd,60,20.5,32252857.600000005,23.93,34,6.18,"Volume Driver (High Rev, Low Margin)"
PROD-0049,29,36,616042.35,477014.04,139028.31,2,0,22.57,6.9,0.0,Apple Accessories Premium,Electronics,Accessories,Apple,13250.39,17779.0,Apex Electronics Ltd,477,25.47,32868899.950000007,24.39,35,6.36,"Volume Driver (High Rev, Low Margin)"
PROD-0410,9,15,604426.2,493961.4,110464.8,0,1,18.28,0.0,11.11,Dell Laptops Ultra,Electronics,Laptops,Dell,32930.76,43799.0,Apex Electronics Ltd,95,24.81,33473326.150000006,24.84,36,6.55,"Volume Driver (High Rev, Low Margin)"
PROD-0263,55,90,596132.55,500539.5,95593.05,6,2,16.04,10.91,3.64,Boat Cameras Essentials,Electronics,Cameras,Boat,5561.55,7059.0,Apex Electronics Ltd,305,21.21,34069458.7,25.28,37,6.73,"Volume Driver (High Rev, Low Margin)"
PROD-0343,23,28,593573.5,504577.08,88996.42,1,2,14.99,4.35,8.7,Hp Audio & Headphones Classic,Electronics,Audio & Headphones,Hp,18020.61,22399.0,Zenith Tech Distribution,216,19.55,34663032.2,25.72,38,6.91,"Volume Driver (High Rev, Low Margin)"
PROD-0099,49,67,575056.8,509803.67,65253.130000000005,6,1,11.35,12.24,2.04,Sony Audio & Headphones Premium,Electronics,Audio & Headphones,Sony,7609.01,9099.0,Metro Gadget Hub,309,16.38,35238089.0,26.15,39,7.09,"Volume Driver (High Rev, Low Margin)"
PROD-0094,43,58,572297.8,470500.64,101797.16,2,3,17.79,4.65,6.98,Samsung Smartwatches Premium,Electronics,Smartwatches,Samsung,8112.08,10559.0,Zenith Tech Distribution,533,23.17,35810386.8,26.57,40,7.27,"Volume Driver (High Rev, Low Margin)"
PROD-0213,20,27,571542.3,501412.68,70129.62,2,0,12.27,10.0,0.0,Boat Audio & Headphones Classic,Electronics,Audio & Headphones,Boat,18570.84,22239.0,Zenith Tech Distribution,131,16.49,36381929.099999994,27.0,41,7.45,"Volume Driver (High Rev, Low Margin)"
PROD-0537,59,101,566968.55,370012.49,196956.06,5,4,34.74,8.47,6.78,Biba Women'S Wear Ultra,Fashion,Women'S Wear,Biba,3663.49,5909.0,Vibrant Textiles Corp,105,38.0,36948897.64999999,27.42,42,7.64,"Star (High Rev, High Margin)"
PROD-0429,39,51,562546.75,461564.28,100982.47,5,1,17.95,12.82,2.56,Samsung Smartphones Essentials,Electronics,Smartphones,Samsung,9050.28,11659.0,Apex Electronics Ltd,547,22.38,37511444.39999999,27.83,43,7.82,"Volume Driver (High Rev, Low Margin)"
PROD-0087,46,69,552687.45,481065.93,71621.52,9,3,12.96,19.57,6.52,Oneplus Accessories Max,Electronics,Accessories,Oneplus,6971.97,8629.0,Zenith Tech Distribution,51,19.2,38064131.849999994,28.24,44,8.0,"Volume Driver (High Rev, Low Margin)"
PROD-0281,29,42,551896.8,500293.08,51603.72,2,1,9.35,6.9,3.45,Dell Accessories Plus,Electronics,Accessories,Dell,11911.74,14079.0,Apex Electronics Ltd,233,15.39,38616028.64999999,28.65,45,8.18,"Volume Driver (High Rev, Low Margin)"
PROD-0085,17,20,548962.55,463895.6,85066.95000000001,2,0,15.5,11.76,0.0,Boat Smartphones Essentials,Electronics,Smartphones,Boat,23194.78,28969.0,Zenith Tech Distribution,339,19.93,39164991.19999999,29.06,46,8.36,"Volume Driver (High Rev, Low Margin)"
PROD-0272,26,39,541655.1,438590.1,103065.0,3,1,19.03,11.54,3.85,Realme Audio & Headphones Prime,Electronics,Audio & Headphones,Realme,11245.9,14679.0,Apex Electronics Ltd,296,23.39,39706646.29999999,29.46,47,8.55,"Volume Driver (High Rev, Low Margin)"
PROD-0471,49,71,519226.1,480082.12,39143.98,1,0,7.54,2.04,0.0,Oneplus Accessories Classic,Electronics,Accessories,Oneplus,6761.72,7879.0,Metro Gadget Hub,15,14.18,40225872.39999999,29.85,48,8.73,"Volume Driver (High Rev, Low Margin)"
PROD-0516,50,69,515538.45,438431.52,77106.93000000001,6,4,14.96,12.0,8.0,Apple Accessories Elite,Electronics,Accessories,Apple,6354.08,8049.0,Zenith Tech Distribution,377,21.06,40741410.849999994,30.23,49,8.91,"Volume Driver (High Rev, Low Margin)"
PROD-0423,35,51,508563.45,431964.38999999996,76599.06,1,1,15.06,2.86,2.86,Apple Cameras Elite,Electronics,Cameras,Apple,8469.89,10809.0,Apex Electronics Ltd,523,21.64,41249974.3,30.61,50,9.09,"Volume Driver (High Rev, Low Margin)"
PROD-0081,62,92,508533.5,351439.07999999996,157094.42,5,2,30.89,8.06,3.23,Puma Ethnic Wear Elite,Fashion,Ethnic Wear,Puma,3819.99,5879.0,Vibrant Textiles Corp,315,35.02,41758507.8,30.98,51,9.27,"Volume Driver (High Rev, Low Margin)"
PROD-0141,29,46,507302.6,333257.12,174045.47999999998,1,1,34.31,3.45,3.45,Domyos Racket Sports Premium,Sports,Racket Sports,Domyos,7244.72,11689.0,Fitnation Logistics,134,38.02,42265810.4,31.36,52,9.45,"Star (High Rev, High Margin)"
PROD-0346,17,25,503946.45,456789.75,47156.7,1,2,9.36,5.88,11.76,Realme Accessories Max,Electronics,Accessories,Realme,18271.59,21399.0,Metro Gadget Hub,476,14.61,42769756.85,31.74,53,9.64,"Volume Driver (High Rev, Low Margin)"
PROD-0320,54,77,497072.95,398224.75,98848.2,2,5,19.89,3.7,9.26,Apple Accessories Elite,Electronics,Accessories,Apple,5171.75,6899.0,Zenith Tech Distribution,311,25.04,43266829.800000004,32.1,54,9.82,"Volume Driver (High Rev, Low Margin)"
PROD-0126,30,40,493737.9,453996.4,39741.5,2,2,8.05,6.67,6.67,Hp Cameras Series 5,Electronics,Cameras,Hp,11349.91,12959.0,Zenith Tech Distribution,261,12.42,43760567.7,32.47,55,10.0,"Volume Driver (High Rev, Low Margin)"
PROD-0477,60,91,493687.45,226164.12000000002,267523.33,2,3,54.19,3.33,5.0,Peter England Men'S Wear Pro,Fashion,Men'S Wear,Peter England,2485.32,5839.0,Royal Garments Supply,519,57.44,44254255.150000006,32.84,56,10.18,"Star (High Rev, High Margin)"
PROD-0284,52,86,479729.6,418088.13999999996,61641.46,4,2,12.85,7.69,3.85,Oneplus Cameras Elite,Electronics,Cameras,Oneplus,4861.49,6119.0,Zenith Tech Distribution,37,20.55,44733984.75000001,33.19,57,10.36,"Volume Driver (High Rev, Low Margin)"
PROD-0022,35,53,459068.65,288260.64,170808.01,2,1,37.21,5.71,2.86,Kiprun Outdoor Gear Premium,Sports,Outdoor Gear,Kiprun,5438.88,9209.0,Fitnation Logistics,463,40.94,45193053.400000006,33.53,58,10.55,"Star (High Rev, High Margin)"
PROD-0050,77,116,458254.65,196124.68,262129.97,9,2,57.2,11.69,2.6,Raymond Footwear Premium,Fashion,Footwear,Raymond,1690.73,4249.0,Vibrant Textiles Corp,80,60.21,45651308.050000004,33.87,59,10.73,"Star (High Rev, High Margin)"
PROD-0528,36,59,457815.75,391274.43000000005,66541.32,1,1,14.53,2.78,2.78,Hp Cameras Essentials,Electronics,Cameras,Hp,6631.77,8439.0,Metro Gadget Hub,186,21.42,46109123.800000004,34.21,60,10.91,"Volume Driver (High Rev, Low Margin)"
PROD-0427,47,69,457121.2,390374.4,66746.8,3,2,14.6,6.38,4.26,Noise Laptops Classic,Electronics,Laptops,Noise,5657.6,7279.0,Zenith Tech Distribution,530,22.28,46566245.00000001,34.55,61,11.09,"Volume Driver (High Rev, Low Margin)"
PROD-0041,45,66,455397.7,279709.98,175687.72,4,3,38.58,8.89,6.67,Spaces Storage & Org Premium,Home & Kitchen,Storage & Org,Spaces,4238.03,7429.0,Urban Living Goods,271,42.95,47021642.70000001,34.89,62,11.27,"Star (High Rev, High Margin)"
PROD-0189,62,98,445497.8,420839.44,24658.36,2,5,5.54,3.23,8.06,Hp Cameras Pro,Electronics,Cameras,Hp,4294.28,4939.0,Zenith Tech Distribution,185,13.05,47467140.50000001,35.22,63,11.45,"Volume Driver (High Rev, Low Margin)"
PROD-0045,32,54,440890.45,313218.9,127671.55,3,2,28.96,9.38,6.25,Yonex Outdoor Gear Series 5,Sports,Outdoor Gear,Yonex,5800.35,8809.0,Olympus Gear,534,34.15,47908030.95000001,35.55,64,11.64,"Volume Driver (High Rev, Low Margin)"
PROD-0491,80,120,439592.4,216775.2,222817.2,5,4,50.69,6.25,5.0,Zudio Ethnic Wear Pro,Fashion,Ethnic Wear,Zudio,1806.46,3939.0,Heritage Weaves,34,54.14,48347623.35000001,35.87,65,11.82,"Star (High Rev, High Margin)"
PROD-0235,53,79,433862.7,265762.32,168100.38,5,6,38.75,9.43,11.32,Levi'S Women'S Wear Ultra,Fashion,Women'S Wear,Levi'S,3364.08,5919.0,Royal Garments Supply,65,43.16,48781486.05000001,36.2,66,12.0,"Star (High Rev, High Margin)"
PROD-0155,46,66,431690.6,380126.33999999997,51564.26,2,2,11.94,4.35,4.35,Samsung Smartphones Pro,Electronics,Smartphones,Samsung,5759.49,6809.0,Apex Electronics Ltd,299,15.41,49213176.65000001,36.52,67,12.18,"Volume Driver (High Rev, Low Margin)"
PROD-0328,70,98,429372.9,359147.46,70225.44,6,3,16.36,8.57,4.29,Xiaomi Audio & Headphones Prime,Electronics,Audio & Headphones,Xiaomi,3664.77,4819.0,Metro Gadget Hub,76,23.95,49642549.55000001,36.83,68,12.36,"Volume Driver (High Rev, Low Margin)"
PROD-0344,27,48,417568.45,380124.0,37444.45,2,1,8.97,7.41,3.7,Oneplus Smartphones Plus,Electronics,Smartphones,Oneplus,7919.25,9269.0,Apex Electronics Ltd,172,14.56,50060118.000000015,37.14,69,12.55,"Volume Driver (High Rev, Low Margin)"
PROD-0469,71,98,413504.1,196821.24000000002,216682.86,10,5,52.4,14.08,7.04,Biba Men'S Wear Pro,Fashion,Men'S Wear,Biba,2008.38,4549.0,Vibrant Textiles Corp,430,55.85,50473622.10000002,37.45,70,12.73,"Star (High Rev, High Margin)"
PROD-0508,77,101,408153.65,371614.35,36539.299999999996,5,4,8.95,6.49,5.19,Xiaomi Smartwatches Plus,Electronics,Smartwatches,Xiaomi,3679.35,4349.0,Zenith Tech Distribution,29,15.4,50881775.750000015,37.75,71,12.91,"Volume Driver (High Rev, Low Margin)"
PROD-0205,34,43,407626.65,276977.19,130649.46,2,3,32.05,5.88,8.82,Yonex Fitness Equipment Prime,Sports,Fitness Equipment,Yonex,6441.33,10359.0,Action Sports Distribution,543,37.82,51289402.40000001,38.06,72,13.09,"Volume Driver (High Rev, Low Margin)"
PROD-0162,57,87,406142.1,164423.91,241718.19,4,2,59.52,7.02,3.51,Zudio Men'S Wear Essentials,Fashion,Men'S Wear,Zudio,1889.93,4959.0,Royal Garments Supply,99,61.89,51695544.500000015,38.36,73,13.27,"Star (High Rev, High Margin)"
PROD-0357,61,100,402541.7,223994.0,178547.7,9,7,44.36,14.75,11.48,Raymond Men'S Wear Essentials,Fashion,Men'S Wear,Raymond,2239.94,4409.0,Royal Garments Supply,532,49.2,52098086.20000002,38.66,74,13.45,"Star (High Rev, High Margin)"
PROD-0002,56,78,394316.1,264763.2,129552.9,9,4,32.86,16.07,7.14,W Kids Wear Max,Fashion,Kids Wear,W,3394.4,5409.0,Royal Garments Supply,214,37.25,52492402.30000002,38.95,75,13.64,"Volume Driver (High Rev, Low Margin)"
PROD-0383,71,107,393923.25,341196.25,52727.0,10,2,13.39,14.08,2.82,Xiaomi Smartphones Ultra,Electronics,Smartphones,Xiaomi,3188.75,3969.0,Apex Electronics Ltd,208,19.66,52886325.55000002,39.24,76,13.82,"Volume Driver (High Rev, Low Margin)"
PROD-0186,61,85,392348.4,263646.2,128702.2,13,4,32.8,21.31,6.56,Puma Men'S Wear Classic,Fashion,Men'S Wear,Puma,3101.72,4929.0,Vibrant Textiles Corp,41,37.07,53278673.95000002,39.53,77,14.0,"Volume Driver (High Rev, Low Margin)"
PROD-0300,50,70,388158.75,238610.4,149548.35,6,6,38.53,12.0,12.0,Puma Kids Wear Pro,Fashion,Kids Wear,Puma,3408.72,5859.0,Royal Garments Supply,128,41.82,53666832.70000002,39.82,78,14.18,"Star (High Rev, High Margin)"
PROD-0285,81,121,384876.1,159922.07,224954.03,7,5,58.45,8.64,6.17,Nike Women'S Wear Ultra,Fashion,Women'S Wear,Nike,1321.67,3409.0,Royal Garments Supply,522,61.23,54051708.80000002,40.11,79,14.36,"Star (High Rev, High Margin)"
PROD-0282,59,87,382736.85,212344.37999999998,170392.47,7,3,44.52,11.86,5.08,Raymond Ethnic Wear Elite,Fashion,Ethnic Wear,Raymond,2440.74,4659.0,Vibrant Textiles Corp,206,47.61,54434445.65000002,40.39,80,14.55,"Star (High Rev, High Margin)"
PROD-0009,80,112,378090.45,189801.92,188288.53,12,4,49.8,15.0,5.0,Nike Kids Wear Essentials,Fashion,Kids Wear,Nike,1694.66,3669.0,Vibrant Textiles Corp,522,53.81,54812536.100000024,40.67,81,14.73,"Star (High Rev, High Margin)"
PROD-0412,66,91,374289.3,249703.08999999997,124586.20999999999,6,7,33.29,9.09,10.61,Peter England Men'S Wear Elite,Fashion,Men'S Wear,Peter England,2743.99,4419.0,Royal Garments Supply,537,37.9,55186825.40000002,40.95,82,14.91,"Volume Driver (High Rev, Low Margin)"
PROD-0489,38,53,369829.15,214863.59,154965.56,2,3,41.9,5.26,7.89,Cello Storage & Org Pro,Home & Kitchen,Storage & Org,Cello,4054.03,7649.0,Homecraft Distributors,385,47.0,55556654.55000002,41.22,83,15.09,"Star (High Rev, High Margin)"
PROD-0221,41,56,367744.85,318094.0,49650.85,6,2,13.5,14.63,4.88,Boat Cameras Essentials,Electronics,Cameras,Boat,5680.25,6919.0,Apex Electronics Ltd,34,17.9,55924399.40000002,41.5,84,15.27,"Volume Driver (High Rev, Low Margin)"
PROD-0055,37,61,366792.5,233786.16,133006.34,0,2,36.26,0.0,5.41,Domyos Fitness Equipment Series 5,Sports,Fitness Equipment,Domyos,3832.56,6379.0,Olympus Gear,340,39.92,56291191.90000002,41.77,85,15.45,"Star (High Rev, High Margin)"
PROD-0020,39,65,365357.7,215366.45,149991.25,7,3,41.05,17.95,7.69,Hawkins Small Appliances Plus,Home & Kitchen,Small Appliances,Hawkins,3313.33,6059.0,Urban Living Goods,282,45.32,56656549.600000024,42.04,86,15.64,"Star (High Rev, High Margin)"
PROD-0278,66,99,360509.85,307221.75,53288.1,7,0,14.78,10.61,0.0,Samsung Smartwatches Max,Electronics,Smartwatches,Samsung,3103.25,3999.0,Metro Gadget Hub,106,22.4,57017059.450000025,42.31,87,15.82,"Volume Driver (High Rev, Low Margin)"
PROD-0253,85,114,359336.9,209428.25999999998,149908.64,14,1,41.72,16.47,1.18,Allen Solly Kids Wear Essentials,Fashion,Kids Wear,Allen Solly,1837.09,3419.0,Royal Garments Supply,342,46.27,57376396.350000024,42.57,88,16.0,"Star (High Rev, High Margin)"
PROD-0319,59,84,357789.15,285411.84,72377.31,7,5,20.23,11.86,8.47,Noise Audio & Headphones Prime,Electronics,Audio & Headphones,Noise,3397.76,4509.0,Zenith Tech Distribution,148,24.64,57734185.50000002,42.84,89,16.18,"Volume Driver (High Rev, Low Margin)"
PROD-0327,63,110,355180.2,232203.4,122976.8,10,4,34.62,15.87,6.35,Fabindia Footwear Elite,Fashion,Footwear,Fabindia,2110.94,3489.0,Vibrant Textiles Corp,530,39.5,58089365.700000025,43.1,90,16.36,"Star (High Rev, High Margin)"
PROD-0128,81,109,354187.35,221387.72,132799.63,8,4,37.49,9.88,4.94,Peter England Winter Wear Essentials,Fashion,Winter Wear,Peter England,2031.08,3519.0,Vibrant Textiles Corp,194,42.28,58443553.05000003,43.37,91,16.55,"Star (High Rev, High Margin)"
PROD-0391,41,58,352133.65,216135.25999999998,135998.39,3,1,38.62,7.32,2.44,Cello Home Decor Premium,Home & Kitchen,Home Decor,Cello,3726.47,6479.0,Urban Living Goods,403,42.48,58795686.700000025,43.63,92,16.73,"Star (High Rev, High Margin)"
PROD-0247,83,116,351570.1,214364.52,137205.58,4,2,39.03,4.82,2.41,L'Oreal Men'S Grooming Series 5,Beauty,Men'S Grooming,L'Oreal,1847.97,3199.0,Divine Botanicals,46,42.23,59147256.80000003,43.89,93,16.91,"Star (High Rev, High Margin)"
PROD-0147,74,111,349247.25,181826.88,167420.37,8,6,47.94,10.81,8.11,W Kids Wear Plus,Fashion,Kids Wear,W,1638.08,3399.0,Heritage Weaves,148,51.81,59496504.05000003,44.15,94,17.09,"Star (High Rev, High Margin)"
PROD-0468,29,38,348467.9,270546.32,77921.58,1,6,22.36,3.45,20.69,Cosco Sports Apparel Essentials,Sports,Sports Apparel,Cosco,7119.64,10219.0,Fitnation Logistics,413,30.33,59844971.950000025,44.41,95,17.27,"Volume Driver (High Rev, Low Margin)"
PROD-0306,79,122,347637.85,316278.89999999997,31358.95,10,5,9.02,12.66,6.33,Sony Smartwatches Prime,Electronics,Smartwatches,Sony,2592.45,3019.0,Apex Electronics Ltd,143,14.13,60192609.80000003,44.66,96,17.45,"Volume Driver (High Rev, Low Margin)"
PROD-0292,68,96,344524.05,214489.91999999998,130034.12999999999,11,4,37.74,16.18,5.88,Peter England Ethnic Wear Classic,Fashion,Ethnic Wear,Peter England,2234.27,3809.0,Heritage Weaves,114,41.34,60537133.850000024,44.92,97,17.64,"Star (High Rev, High Margin)"
PROD-0532,48,70,343873.35,207524.8,136348.55,4,1,39.65,8.33,2.08,Puma Sports Cycling Series 5,Sports,Cycling,Puma Sports,2964.64,5319.0,Action Sports Distribution,506,44.26,60881007.200000025,45.17,98,17.82,"Star (High Rev, High Margin)"
