order_id,customer_id,product_id,order_date,quantity,unit_price,discount_percentage,discount_amount,sales_amount,cost_amount,profit_amount,city,state,region,order_status
ORD-0000018,CUST-02144,PROD-0336,2024-01-01,5,429.0,0.0,0.0,2145.0,1386.4,758.6,Ahmedabad,Gujarat,West,Delivered
ORD-0000019,CUST-04044,PROD-0517,2024-10-07,1,5969.0,15.0,895.35,5073.65,3116.34,1957.31,Mumbai,Maharashtra,West,Delivered
ORD-0000020,CUST-03183,PROD-0134,2024-04-27,3,699.0,5.0,104.85,1992.15,905.31,1086.84,Kolkata,West Bengal,East,Delivered
ORD-0000021,CUST-02590,PROD-0504,2024-04-20,3,2229.0,5.0,334.35,6352.65,5265.42,1087.23,Chennai,Tamil Nadu,South,Delivered
ORD-0000022,CUST-04752,PROD-0129,2023-08-20,1,2849.0,5.0,142.45,2706.55,2039.89,666.66,Mumbai,Maharashtra,West,Delivered
ORD-0000023,CUST-01998,PROD-0292,2023-05-30,1,3809.0,10.0,380.9,3428.1,2234.27,1193.83,Indore,Madhya Pradesh,Central,Delivered
ORD-0000024,CUST-01153,PROD-0439,2023-02-08,1,1059.0,5.0,52.95,1006.05,665.41,340.64,Surat,Gujarat,West,Cancelled
ORD-0000025,CUST-03194,PROD-0441,2023-11-21,1,869.0,25.0,217.25,651.75,517.74,134.01,Surat,Gujarat,West,Delivered
ORD-0000026,CUST-03282,PROD-0159,2023-06-17,1,109.0,5.0,5.45,103.55,94.23,9.32,Indore,Madhya Pradesh,Central,Cancelled
ORD-0000027,CUST-02318,PROD-0542,2024-03-19,1,559.0,0.0,0.0,559.0,365.62,193.38,Jaipur,Rajasthan,North,Delivered
ORD-0000028,CUST-02545,PROD-0044,2023-02-09,1,709.0,15.0,106.35,602.65,389.26,213.39,Pune,Maharashtra,West,Delivered
ORD-0000029,CUST-04982,PROD-0022,2023-05-01,1,9209.0,0.0,0.0,9209.0,5438.88,3770.12,Bengaluru,Karnataka,South,Delivered
ORD-0000030,CUST-03839,PROD-0462,2024-01-05,4,1859.0,0.0,0.0,7436.0,3604.6,3831.4,Delhi,Delhi,North,Delivered
ORD-0000031,CUST-00575,PROD-0449,2024-06-29,1,259.0,0.0,0.0,259.0,221.54,37.46,Pune,Maharashtra,West,Delivered
ORD-0000032,CUST-01117,PROD-0393,2024-08-28,1,2829.0,0.0,0.0,2829.0,1914.99,914.01,Patna,Bihar,East,Delivered
ORD-0000033,CUST-05073,PROD-0470,2023-12-06,1,70.0,5.0,3.5,66.5,57.73,8.77,Kochi,Kerala,South,Delivered
ORD-0000034,CUST-03808,PROD-0076,2023-07-31,4,499.0,10.0,199.6,1796.4,1196.04,600.36,Kolkata,West Bengal,East,Delivered
ORD-0000035,CUST-04763,PROD-0053,2024-06-03,1,549.0,0.0,0.0,549.0,328.99,220.01,Delhi,Delhi,North,Delivered
ORD-0000036,CUST-01608,PROD-0534,2024-04-10,1,749.0,10.0,74.9,674.1,375.87,298.23,Visakhapatnam,Andhra Pradesh,South,Delivered
ORD-0000037,CUST-03890,PROD-0345,2024-04-09,2,4479.0,0.0,0.0,8958.0,5622.18,3335.82,Delhi,Delhi,North,Delivered
ORD-0000038,CUST-03746,PROD-0503,2024-03-10,1,239.0,10.0,23.9,215.1,91.97,123.13,Mumbai,Maharashtra,West,Delivered
ORD-0000039,CUST-01556,PROD-0497,2024-01-31,1,309.0,0.0,0.0,309.0,208.91,100.09,Hyderabad,Telangana,South,Delivered
ORD-0000040,CUST-02883,PROD-0363,2024-04-21,1,759.0,5.0,37.95,721.05,446.36,274.69,Chandigarh,Punjab,North,Delivered
ORD-0000041,CUST-03302,PROD-0348,2022-09-21,1,649.0,15.0,97.35,551.65,502.8,48.85,Mumbai,Maharashtra,West,Delivered
ORD-0000042,CUST-02521,PROD-0203,2022-11-13,1,3099.0,15.0,464.85,2634.15,1243.48,1390.67,Hyderabad,Telangana,South,Delivered
ORD-0000043,CUST-04311,PROD-0084,2024-05-18,1,639.0,5.0,31.95,607.05,323.38,283.67,Bengaluru,Karnataka,South,Returned
ORD-0000044,CUST-04338,PROD-0380,2023-09-23,1,859.0,10.0,85.9,773.1,726.65,46.45,Mumbai,Maharashtra,West,Delivered
ORD-0000045,CUST-04425,PROD-0449,2024-05-01,1,259.0,15.0,38.85,220.15,221.54,-1.39,Chennai,Tamil Nadu,South,Delivered
ORD-0000046,CUST-04195,PROD-0301,2024-05-26,1,1079.0,5.0,53.95,1025.05,700.11,324.94,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000047,CUST-02552,PROD-0030,2024-07-05,1,409.0,5.0,20.45,388.55,264.53,124.02,Pune,Maharashtra,West,Delivered
ORD-0000048,CUST-02015,PROD-0081,2024-11-11,1,5879.0,0.0,0.0,5879.0,3819.99,2059.01,Mumbai,Maharashtra,West,Delivered
ORD-0000049,CUST-04332,PROD-0058,2024-07-03,1,1929.0,5.0,96.45,1832.55,1110.29,722.26,Coimbatore,Tamil Nadu,South,Delivered
ORD-0000050,CUST-02563,PROD-0366,2023-08-18,3,249.0,0.0,0.0,747.0,666.81,80.19,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000051,CUST-01297,PROD-0312,2024-11-17,1,1029.0,20.0,205.8,823.2,444.5,378.7,Ahmedabad,Gujarat,West,Delivered
ORD-0000052,CUST-02650,PROD-0259,2024-03-15,2,159.0,5.0,15.9,302.1,279.08,23.02,Coimbatore,Tamil Nadu,South,Delivered
ORD-0000053,CUST-00736,PROD-0300,2023-12-31,1,5859.0,0.0,0.0,5859.0,3408.72,2450.28,Bhopal,Madhya Pradesh,Central,Delivered
ORD-0000054,CUST-03633,PROD-0159,2022-11-07,1,109.0,0.0,0.0,109.0,94.23,14.77,Kolkata,West Bengal,East,Delivered
ORD-0000055,CUST-01774,PROD-0442,2024-08-15,1,309.0,0.0,0.0,309.0,157.01,151.99,Bengaluru,Karnataka,South,Delivered
ORD-0000056,CUST-01370,PROD-0183,2024-08-27,1,70.0,0.0,0.0,70.0,60.77,9.23,Mumbai,Maharashtra,West,Delivered
ORD-0000057,CUST-04966,PROD-0358,2024-10-19,1,169.0,10.0,16.9,152.1,150.84,1.26,Coimbatore,Tamil Nadu,South,Delivered
ORD-0000058,CUST-04058,PROD-0222,2023-10-01,1,399.0,20.0,79.8,319.2,258.42,60.78,Kochi,Kerala,South,Delivered
ORD-0000059,CUST-04112,PROD-0042,2024-10-19,1,309.0,20.0,61.8,247.2,213.61,33.59,Delhi,Delhi,North,Delivered
ORD-0000060,CUST-03279,PROD-0147,2023-06-30,1,3399.0,0.0,0.0,3399.0,1638.08,1760.92,Kolkata,West Bengal,East,Delivered
ORD-0000061,CUST-04366,PROD-0530,2023-12-21,3,2939.0,15.0,1322.55,7494.45,4514.19,2980.26,Patna,Bihar,East,Delivered
ORD-0000062,CUST-03967,PROD-0108,2023-06-24,2,969.0,0.0,0.0,1938.0,1230.92,707.08,Mumbai,Maharashtra,West,Cancelled
ORD-0000063,CUST-03145,PROD-0060,2023-01-03,1,409.0,5.0,20.45,388.55,281.47,107.08,Kolkata,West Bengal,East,Delivered
ORD-0000064,CUST-04991,PROD-0166,2024-06-05,1,8189.0,5.0,409.45,7779.55,5901.2,1878.35,Hyderabad,Telangana,South,Delivered
ORD-0000065,CUST-01008,PROD-0483,2024-05-11,1,1559.0,10.0,155.9,1403.1,965.05,438.05,Mumbai,Maharashtra,West,Returned
ORD-0000066,CUST-04901,PROD-0173,2024-05-23,1,239.0,0.0,0.0,239.0,118.19,120.81,Patna,Bihar,East,Delivered
ORD-0000067,CUST-02133,PROD-0235,2023-12-07,1,5919.0,20.0,1183.8,4735.2,3364.08,1371.12,Mumbai,Maharashtra,West,Cancelled
ORD-0000068,CUST-02765,PROD-0174,2023-05-23,1,669.0,10.0,66.9,602.1,411.33,190.77,Coimbatore,Tamil Nadu,South,Delivered
ORD-0000069,CUST-00635,PROD-0544,2024-02-28,4,3849.0,5.0,769.8,14626.2,10132.72,4493.48,Bhopal,Madhya Pradesh,Central,Delivered
ORD-0000070,CUST-02827,PROD-0550,2022-10-11,1,699.0,0.0,0.0,699.0,441.72,257.28,Delhi,Delhi,North,Delivered
ORD-0000071,CUST-03210,PROD-0267,2023-08-23,1,559.0,15.0,83.85,475.15,214.42,260.73,Bengaluru,Karnataka,South,Delivered
ORD-0000072,CUST-05191,PROD-0434,2024-11-22,1,259.0,15.0,38.85,220.15,121.37,98.78,Kochi,Kerala,South,Delivered
ORD-0000073,CUST-05069,PROD-0128,2023-10-28,2,3519.0,20.0,1407.6,5630.4,4062.16,1568.24,AHMEDABAD,Gujarat,West,Delivered
ORD-0000074,CUST-05019,PROD-0212,2024-04-21,2,1899.0,0.0,0.0,3798.0,2568.28,1229.72,Bengaluru,Karnataka,South,Delivered
ORD-0000075,CUST-01838,PROD-0376,2023-07-28,1,979.0,0.0,0.0,979.0,779.05,199.95,surat,Gujarat,West,Delivered
ORD-0000076,CUST-05158,PROD-0163,2023-11-01,1,219.0,0.0,0.0,219.0,130.96,88.04,Mumbai,Maharashtra,West,Delivered
ORD-0000077,CUST-02396,PROD-0130,2023-10-19,1,109.0,20.0,21.8,87.2,85.16,2.04,Chandigarh,Punjab,North,Delivered
ORD-0000078,CUST-04432,PROD-0503,2023-10-24,1,239.0,10.0,23.9,215.1,91.97,123.13,  Coimbatore ,Tamil Nadu,South,Delivered
ORD-0000079,CUST-01136,PROD-0139,2022-12-01,3,719.0,0.0,0.0,2157.0,1156.98,1000.02,Mumbai,Maharashtra,West,Delivered
ORD-0000080,CUST-02643,PROD-0034,2022-10-20,1,1019.0,25.0,254.75,764.25,380.26,383.99,Kolkata,West Bengal,East,Delivered
ORD-0000081,CUST-05017,PROD-0416,2023-01-14,2,379.0,0.0,0.0,758.0,420.78,337.22,Visakhapatnam,Andhra Pradesh,South,Delivered
ORD-0000082,CUST-04917,PROD-0138,2024-10-07,1,3699.0,25.0,924.75,2774.25,1766.93,1007.32,Chennai,Tamil Nadu,South,Delivered
ORD-0000083,CUST-03593,PROD-0252,2023-07-27,1,749.0,10.0,74.9,674.1,664.02,10.08,Guwahati,Assam,East,Delivered
ORD-0000084,CUST-04167,PROD-0063,2024-06-02,1,399.0,0.0,0.0,399.0,140.92,258.08,Mumbai,Maharashtra,West,Delivered
ORD-0000085,CUST-00922,PROD-0038,2023-06-26,1,609.0,5.0,30.45,578.55,542.44,36.11,Kochi,Kerala,South,Delivered
ORD-0000086,CUST-03777,PROD-0257,2022-01-04,2,1199.0,5.0,119.9,2278.1,1336.7,941.4,Bengaluru,Karnataka,South,Delivered
ORD-0000087,CUST-03248,PROD-0188,2023-10-18,1,569.0,30.0,170.7,398.3,329.72,68.58,Indore,Madhya Pradesh,Central,Delivered
ORD-0000088,CUST-00469,PROD-0280,2024-12-07,4,2339.0,15.0,1403.4,7952.6,7860.24,92.36,Bengaluru,Karnataka,South,Delivered
ORD-0000089,CUST-00589,PROD-0530,2023-07-20,1,2939.0,10.0,293.9,2645.1,1504.73,1140.37,Mumbai,Maharashtra,West,Delivered
ORD-0000090,CUST-00562,PROD-0232,2022-12-13,1,269.0,5.0,13.45,255.55,187.33,68.22,Jaipur,Rajasthan,North,Delivered
ORD-0000091,CUST-03796,PROD-0336,2024-10-30,1,429.0,0.0,0.0,429.0,277.28,151.72,Bhopal,Madhya Pradesh,Central,Delivered
ORD-0000092,CUST-00736,PROD-0056,2024-01-07,1,679.0,5.0,33.95,645.05,255.59,389.46,Bhopal,Madhya Pradesh,Central,Delivered
ORD-0000093,CUST-02457,PROD-0486,2024-05-31,1,3359.0,0.0,0.0,3359.0,1548.0,1811.0,Delhi,Delhi,North,Delivered
ORD-0000094,CUST-01887,PROD-0443,2022-11-17,1,1869.0,25.0,467.25,1401.75,813.09,588.66,Chennai,Tamil Nadu,South,Delivered
ORD-0000095,CUST-02880,PROD-0289,2024-04-12,1,99.0,5.0,4.95,94.05,88.34,5.71,Hyderabad   ,Telangana,South,Delivered
ORD-0000096,CUST-03711,PROD-0105,2024-07-08,1,719.0,10.0,71.9,647.1,473.35,173.75,Chennai,Tamil Nadu,South,Delivered
ORD-0000097,CUST-03596,PROD-0238,2024-05-22,1,80.0,15.0,12.0,68.0,63.22,4.78,Mumbai,Maharashtra,West,Delivered
ORD-0000098,CUST-02700,PROD-0169,2024-03-09,1,419.0,5.0,20.95,398.05,187.95,210.1,Hyderabad,Telangana,South,Delivered
ORD-0000099,CUST-02440,PROD-0547,2023-05-02,1,589.0,0.0,0.0,589.0,357.03,231.97,Hyderabad,Telangana,South,Delivered
ORD-0000100,CUST-02115,PROD-0270,2024-12-20,1,669.0,10.0,66.9,602.1,375.19,226.91,Chennai,Tamil Nadu,South,Delivered
ORD-0000101,CUST-04486,PROD-0238,2023-11-08,3,80.0,10.0,24.0,216.0,189.66,26.34,Patna,Bihar,East,Delivered
ORD-0000102,CUST-01750,PROD-0096,2023-04-05,1,1609.0,0.0,0.0,1609.0,666.89,942.11,Mumbai,Maharashtra,West,Delivered
ORD-0000103,CUST-01361,PROD-0135,2024-02-04,1,279.0,5.0,13.95,265.05,114.14,150.91,Mumbai,Maharashtra,West,Delivered
ORD-0000104,CUST-03896,PROD-0392,2024-10-17,1,919.0,25.0,229.75,689.25,573.8,115.45,Mumbai,Maharashtra,West,Delivered
ORD-0000105,CUST-01898,PROD-0296,2023-06-19,1,839.0,0.0,0.0,839.0,682.92,156.08,Surat,Gujarat,West,Delivered
ORD-0000106,CUST-04408,PROD-0201,2023-10-24,4,419.0,0.0,0.0,1676.0,1077.48,598.52,Chennai,Tamil Nadu,South,Cancelled
ORD-0000107,CUST-01731,PROD-0169,2023-06-24,1,419.0,20.0,83.8,335.2,187.95,147.25,Mumbai,Maharashtra,West,Delivered
ORD-0000108,CUST-03686,PROD-0115,2024-04-23,1,2249.0,10.0,224.9,2024.1,1485.79,538.31,Mumbai,Maharashtra,West,Delivered
ORD-0000109,CUST-00231,PROD-0021,2023-08-10,1,1179.0,5.0,58.95,1120.05,628.92,491.13,Chandigarh,Punjab,North,Delivered
ORD-0000110,CUST-02041,PROD-0536,2023-02-05,1,429.0,0.0,0.0,429.0,300.97,128.03,Chennai,Tamil Nadu,South,Delivered
ORD-0000111,CUST-01818,PROD-0417,2022-12-27,1,989.0,15.0,148.35,840.65,407.91,432.74,Kolkata,West Bengal,East,Delivered
ORD-0000112,CUST-04260,PROD-0506,2022-01-04,1,539.0,0.0,0.0,539.0,408.74,130.26,Chennai,Tamil Nadu,South,Delivered
ORD-0000113,CUST-05025,PROD-0233,2024-04-26,1,649.0,0.0,0.0,649.0,253.93,395.07,Surat,Gujarat,West,Delivered
ORD-0000114,CUST-02419,PROD-0479,2024-11-30,1,2149.0,15.0,322.35,1826.65,1601.85,224.8,Bengaluru,Karnataka,South,Delivered
ORD-0000115,CUST-04299,PROD-0146,2024-07-20,2,679.0,5.0,67.9,1290.1,882.42,407.68,Chennai,Tamil Nadu,South,Delivered
ORD-0000116,CUST-03674,PROD-0284,2024-11-19,1,6119.0,15.0,917.85,5201.15,4861.49,339.66,Patna,Bihar,East,Delivered
ORD-0000117,CUST-05026,PROD-0116,2024-05-03,1,249.0,0.0,0.0,249.0,159.03,89.97,Ahmedabad,Gujarat,West,Delivered
ORD-0000118,CUST-04234,PROD-0427,2022-11-12,1,7279.0,25.0,1819.75,5459.25,5657.6,-198.35,Mumbai,Maharashtra,West,Delivered
ORD-0000119,CUST-00391,PROD-0274,2023-03-22,2,519.0,5.0,51.9,986.1,459.38,526.72,Hyderabad,Telangana,South,Delivered
ORD-0000120,CUST-03743,PROD-0297,2024-05-18,2,739.0,0.0,0.0,1478.0,1048.3,429.7,Bhubaneswar,Odisha,East,Delivered
ORD-0000121,CUST-02807,PROD-0472,2024-12-27,2,849.0,10.0,169.8,1528.2,1344.42,183.78,Delhi,Delhi,North,Delivered
ORD-0000122,CUST-00081,PROD-0408,2024-09-14,1,669.0,5.0,33.45,635.55,442.5,193.05,Bhopal,Madhya Pradesh,Central,Delivered
ORD-0000123,CUST-01320,PROD-0530,2023-11-25,1,2939.0,10.0,293.9,2645.1,1504.73,1140.37,Chennai,Tamil Nadu,South,Delivered
ORD-0000124,CUST-04795,PROD-0230,2023-11-25,1,739.0,15.0,110.85,628.15,366.84,261.31,Bengaluru,Karnataka,South,Delivered
ORD-0000125,CUST-04819,PROD-0257,2024-06-12,2,1199.0,0.0,0.0,2398.0,1336.7,1061.3,  Mumbai ,Maharashtra,West,Delivered
ORD-0000126,CUST-04172,PROD-0339,2023-03-11,2,509.0,0.0,0.0,1018.0,542.46,475.54,Mumbai,Maharashtra,West,Delivered
ORD-0000127,CUST-05110,PROD-0254,2024-08-06,1,2749.0,0.0,0.0,2749.0,1637.47,1111.53,Mumbai,Maharashtra,West,Delivered
ORD-0000128,CUST-04212,PROD-0236,2024-05-14,1,2049.0,0.0,0.0,2049.0,869.83,1179.17,Mumbai,Maharashtra,West,Delivered
ORD-0000129,CUST-00047,PROD-0190,2024-03-12,4,2959.0,0.0,0.0,11836.0,6293.88,5542.12,Indore,Madhya Pradesh,Central,Cancelled
ORD-0000130,CUST-01518,PROD-0457,2023-09-08,1,779.0,5.0,38.95,740.05,695.9,44.15,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000131,CUST-00154,PROD-0296,2023-07-22,2,839.0,15.0,251.7,1426.3,1365.84,60.46,Delhi,Delhi,North,Delivered
ORD-0000132,CUST-00482,PROD-0338,2024-02-05,2,80.0,0.0,0.0,160.0,125.54,34.46,Hyderabad,Telangana,South,Delivered
ORD-0000133,CUST-01146,PROD-0116,2024-11-20,2,249.0,10.0,49.8,448.2,318.06,130.14,Patna,Bihar,East,Returned
ORD-0000134,CUST-02632,PROD-0144,2022-07-29,2,319.0,20.0,127.6,510.4,448.64,61.76,Jaipur,Rajasthan,North,Delivered
ORD-0000135,CUST-04409,PROD-0190,2023-12-20,1,2959.0,0.0,0.0,2959.0,1573.47,1385.53,Chennai,Tamil Nadu,South,Delivered
ORD-0000136,CUST-04486,PROD-0259,2023-12-02,3,159.0,0.0,0.0,477.0,418.62,58.38,Patna,Bihar,East,Cancelled
ORD-0000137,CUST-03238,PROD-0026,2022-09-04,1,1599.0,15.0,239.85,1359.15,1029.94,329.21,Mumbai,Maharashtra,West,Delivered
ORD-0000138,CUST-04831,PROD-0487,2023-10-07,1,1009.0,10.0,100.9,908.1,763.17,144.93,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000139,CUST-02613,PROD-0496,2023-10-24,1,299.0,0.0,0.0,299.0,178.47,120.53,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000140,CUST-04629,PROD-0367,2024-04-20,1,609.0,5.0,30.45,578.55,392.27,186.28,Mumbai,Maharashtra,West,Delivered
ORD-0000141,CUST-02391,PROD-0177,2022-08-17,1,529.0,15.0,79.35,449.65,292.43,157.22,Kochi,Kerala,South,Returned
ORD-0000142,CUST-01454,PROD-0220,2024-07-06,1,369.0,0.0,0.0,369.0,236.78,132.22,Bengaluru,Karnataka,South,Delivered
ORD-0000143,CUST-04769,PROD-0405,2023-05-05,1,3469.0,0.0,0.0,3469.0,1626.5,1842.5,Jaipur,Rajasthan,North,Delivered
ORD-0000144,CUST-02053,PROD-0163,2023-11-21,1,219.0,20.0,43.8,175.2,130.96,44.24,Bengaluru,Karnataka,South,Delivered
ORD-0000145,CUST-02631,PROD-0338,2022-09-22,3,80.0,0.0,0.0,240.0,188.31,51.69,Bengaluru,Karnataka,South,Delivered
ORD-0000146,CUST-01736,PROD-0497,2024-05-05,1,309.0,0.0,0.0,309.0,208.91,100.09,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000147,CUST-03485,PROD-0232,2024-02-25,2,269.0,10.0,53.8,484.2,374.66,109.54,Mumbai,Maharashtra,West,Delivered
ORD-0000148,CUST-05179,PROD-0327,2022-05-02,1,3489.0,0.0,0.0,3489.0,2110.94,1378.06,Kochi,Kerala,South,Delivered
ORD-0000149,CUST-00129,PROD-0506,2022-11-10,2,539.0,25.0,269.5,808.5,817.48,-8.98,Mumbai,Maharashtra,West,Delivered
ORD-0000150,CUST-04680,PROD-0190,2023-06-24,1,2959.0,0.0,0.0,2959.0,1573.47,1385.53,Pune,Maharashtra,West,Delivered
ORD-0000151,CUST-00019,PROD-0420,2023-05-20,1,159.0,0.0,0.0,159.0,115.86,43.14,Bhopal,Madhya Pradesh,Central,Cancelled
ORD-0000152,CUST-01922,PROD-0418,2024-08-10,5,3559.0,5.0,889.75,16905.25,11747.8,5157.45,Delhi,Delhi,North,Delivered
ORD-0000153,CUST-00879,PROD-0506,2024-01-10,1,539.0,0.0,0.0,539.0,408.74,130.26,Bengaluru,Karnataka,South,Delivered
ORD-0000154,CUST-03960,PROD-0472,2024-10-10,2,849.0,10.0,169.8,1528.2,1344.42,183.78,Bhubaneswar,Odisha,East,Delivered
ORD-0000155,CUST-00260,PROD-0414,2023-12-03,1,1079.0,5.0,53.95,1025.05,835.38,189.67,Chennai,Tamil Nadu,South,Delivered
ORD-0000156,CUST-02898,PROD-0354,2023-02-04,1,1169.0,0.0,0.0,1169.0,466.08,702.92,Kolkata,West Bengal,East,Delivered
ORD-0000157,CUST-01558,PROD-0137,2023-01-04,1,1329.0,0.0,0.0,1329.0,763.4,565.6,Chennai,Tamil Nadu,South,Cancelled
ORD-0000158,CUST-00696,PROD-0372,2022-10-19,1,459.0,20.0,91.8,367.2,248.59,118.61,Pune,Maharashtra,West,Delivered
ORD-0000159,CUST-04032,PROD-0159,2022-11-25,1,109.0,15.0,16.35,92.65,94.23,-1.58,Delhi,Delhi,North,Delivered
ORD-0000160,CUST-01140,PROD-0246,2024-04-20,1,4049.0,0.0,0.0,4049.0,2940.46,1108.54,Pune,Maharashtra,West,Delivered
ORD-0000161,CUST-01178,PROD-0391,2023-10-18,1,6479.0,0.0,0.0,6479.0,3726.47,2752.53,Visakhapatnam,Andhra Pradesh,South,Delivered
ORD-0000162,CUST-01442,PROD-0374,2024-01-20,3,629.0,10.0,188.7,1698.3,1163.31,534.99,Chandigarh,Punjab,North,Delivered
ORD-0000163,CUST-03078,PROD-0228,2023-09-27,1,2649.0,0.0,0.0,2649.0,1444.24,1204.76,Pune,Maharashtra,West,Delivered
ORD-0000164,CUST-03468,PROD-0105,2023-03-18,1,719.0,5.0,35.95,683.05,473.35,209.7,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000165,CUST-00090,PROD-0268,2022-02-08,3,679.0,0.0,0.0,2037.0,1120.68,916.32,Delhi,Delhi,North,Delivered
ORD-0000166,CUST-01273,PROD-0156,2024-05-05,2,749.0,0.0,0.0,1498.0,880.66,617.34,Mumbai,Maharashtra,West,Delivered
ORD-0000167,CUST-02274,PROD-0146,2023-09-23,3,679.0,0.0,0.0,2037.0,1323.63,713.37,Delhi,Delhi,North,Delivered
ORD-0000168,CUST-01754,PROD-0183,2024-03-23,4,70.0,10.0,28.0,252.0,243.08,8.92,Hyderabad,Telangana,South,Delivered
ORD-0000169,CUST-04605,PROD-0389,2024-01-01,1,459.0,0.0,0.0,459.0,326.21,132.79,Hyderabad,Telangana,South,Delivered
ORD-0000170,CUST-04115,PROD-0274,2024-09-11,3,519.0,0.0,0.0,1557.0,689.07,867.93,Mumbai,Maharashtra,West,Delivered
ORD-0000171,CUST-03292,PROD-0211,2024-10-05,1,1039.0,0.0,0.0,1039.0,904.55,134.45,Indore,Madhya Pradesh,Central,Delivered
ORD-0000172,CUST-01786,PROD-0495,2023-11-07,2,689.0,15.0,206.7,1171.3,545.68,625.62,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000173,CUST-03678,PROD-0389,2023-08-06,1,459.0,0.0,0.0,459.0,326.21,132.79,Nagpur,Maharashtra,West,Delivered
ORD-0000174,CUST-04389,PROD-0274,2024-12-22,2,519.0,10.0,103.8,934.2,459.38,474.82,Bengaluru,Karnataka,South,Delivered
ORD-0000175,CUST-03125,PROD-0238,2022-10-05,1,80.0,20.0,16.0,64.0,63.22,0.78,Lucknow,Uttar Pradesh,North,Delivered
ORD-0000176,CUST-04099,PROD-0449,2024-01-21,1,259.0,0.0,0.0,259.0,221.54,37.46,Delhi,Delhi,North,Delivered
ORD-0000177,CUST-03921,PROD-0100,2024-01-02,1,1759.0,15.0,263.85,1495.15,855.5,639.65,Chandigarh,Punjab,North,Cancelled
ORD-0000178,CUST-03000,PROD-0368,2024-11-22,1,919.0,10.0,91.9,827.1,688.5,138.6,Delhi,Delhi,North,Delivered
ORD-0000179,CUST-01655,PROD-0013,2022-05-21,1,3999.0,0.0,0.0,3999.0,2069.51,1929.49,Nagpur,Maharashtra,West,Delivered
ORD-0000180,CUST-03906,PROD-0005,2024-11-16,1,1129.0,15.0,169.35,959.65,933.74,25.91,Delhi,Delhi,North,Delivered
ORD-0000181,CUST-01088,PROD-0509,2024-06-06,1,5159.0,0.0,0.0,5159.0,3264.34,1894.66,Mumbai,Maharashtra,West,Delivered
